GeneName	0h-1	0h-2	3h-1	3h-2	6h-1	6h-2
rl	185	186	293	239	348	366
CG40191	313	303	421	400	532	643
Yeti	367	366	616	547	674	740
l(2)41Ab	26	21	40	24	51	47
Maf1	115	102	182	141	179	232
CG17691	182	195	313	259	326	366
CG41520	60	51	70	59	104	112
CG17684	2	2	3	2	7	11
MFS17	68	69	102	95	133	133
CG41378	33	20	43	37	44	49
Scp1	851	906	1209	1088	1424	1652
dpr21	3	2	6	2	2	4
CG41242	0	0	0	0	0	0
RYa	0	0	0	0	0	0
uex	193	237	343	275	352	420
Haspin	43	56	75	61	85	98
CG17683	127	110	196	134	204	239
RNASEK	167	180	267	227	299	325
IntS3	108	85	144	132	202	212
Gprk1	88	95	135	102	137	176
RpL38	949	901	1317	1054	1340	1548
Stlk	80	74	113	113	132	136
p120ctn	182	156	282	226	308	392
CG17486	75	78	136	121	172	176
CG17883	103	101	156	128	191	211
Nipped-B	256	262	359	369	426	578
conu	107	121	154	150	174	223
CG12547	85	78	132	95	140	168
CG17528	128	146	193	175	200	246
CG14464	39	51	69	72	80	88
CG44102	20	16	30	30	35	54
Ir41a	2	4	0	0	2	5
TpnC41C	234	201	341	297	392	441
CG3107	178	178	282	259	275	359
gus	166	169	267	214	289	329
Atf6	127	116	189	181	221	256
Nipped-A	141	133	185	172	220	300
d4	70	49	91	88	111	134
sxc	302	266	454	355	503	588
CG10465	107	98	183	142	181	203
CG10395	27	16	40	26	39	48
IFT20	0	0	2	1	2	2
COX4L	39	41	76	53	59	71
CG10417	145	135	216	186	265	299
stw	82	87	101	101	108	143
CG30440	19	18	23	21	33	33
TpnC4	444	447	689	531	759	896
Ugt50B3	183	161	266	252	354	386
Fis1	24	33	42	39	47	69
CG17508	358	352	547	499	689	704
hrm	211	195	304	257	345	386
CG1344	76	71	106	98	134	152
Not3	258	260	361	365	437	507
CG8245	48	40	56	45	68	67
kune	76	72	99	78	126	142
scaf	53	45	69	71	88	98
Cndp2	302	284	489	376	527	607
vlc	165	158	251	242	281	346
ap	67	71	87	76	120	125
l(2)09851	72	62	101	98	138	151
CG34200	47	50	91	78	91	128
CG7791	49	68	122	82	104	150
Gp210	136	123	204	189	256	293
ZnT41F	73	90	140	130	138	143
Or42a	0	0	0	0	0	1
Tsp42A	4	5	5	9	8	15
Or42b	0	0	0	0	0	0
dpr12	32	26	52	55	80	90
CG44438	0	0	0	0	0	0
CG43366	1	1	1	1	0	2
CG7882	166	169	226	244	288	299
CG7881	44	51	93	69	82	96
BubR1	44	39	60	52	81	96
mle	92	102	189	169	198	247
Src42A	121	141	161	174	229	224
Act42A	791	775	1228	1112	1514	1609
Pngl	139	132	197	196	286	298
Strica	44	39	57	57	72	73
SCAP	151	158	277	258	338	385
CG14591	38	46	76	64	90	110
Tbce	87	77	129	133	179	189
CG34211	4	0	5	3	7	5
CG34212	253	227	318	292	355	382
CCHa2-R	5	4	4	3	2	3
CG7856	35	45	59	52	71	82
l(2)k09848	23	25	37	46	57	65
CG7849	19	27	36	30	36	42
SmydA-5	7	5	12	15	11	15
Ars2	170	156	226	246	275	307
EcR	56	63	87	97	106	123
CG14589	22	33	45	50	50	62
Cyp6w1	752	761	1114	1046	1317	1477
CG8343	60	75	140	124	121	164
CG11211	17	20	23	23	39	35
Ptr	74	58	119	104	128	138
CG30432	3	4	15	8	12	7
eIF3f2	8	9	13	11	15	27
CG30431	52	58	79	68	82	92
CG17994	0	1	2	3	3	1
Ttc7	91	99	148	116	191	167
bin3	160	157	255	266	325	349
tomboy40	61	56	78	70	102	112
Pld	164	112	244	204	275	294
CG15233	0	1	1	2	0	5
jing	41	34	78	57	95	85
CG33919	0	0	0	0	0	0
Vha16-1	3007	2959	4460	4046	5407	6108
Trap1	198	209	298	256	373	374
Bap170	105	89	139	142	185	199
Fmo-2	216	230	406	324	404	486
Debcl	77	105	169	135	162	172
Opbp	34	23	58	42	50	61
geminin	69	65	142	122	157	171
sced	35	26	56	49	60	81
Dpit47	42	56	85	73	112	96
Adf1	61	63	88	87	114	111
CG15908	22	12	20	20	32	32
CG9410	32	41	65	58	63	98
Hsepi	51	64	81	75	118	138
PGAP3	20	25	32	23	37	43
CG17266	7	16	21	23	27	24
Rpp25	15	15	33	27	35	44
Tdc1	25	27	47	45	56	66
CG15909	2	2	4	6	8	3
Tdc2	4	1	5	3	9	10
CG3270	199	201	313	261	366	402
Mob4	115	122	201	157	217	236
Rab2	249	286	390	343	489	511
CG45092	207	213	296	343	431	426
chk	207	213	296	343	431	426
Zip42C.1	0	0	0	0	1	1
Zip42C.2	1	0	0	0	0	0
l(2)01289	292	289	419	369	535	589
phtf	200	182	296	249	319	380
Mccc2	84	112	170	151	213	228
Eb1	218	254	353	313	404	473
CG3420	56	42	73	62	72	75
CG9436	253	256	409	344	463	541
Epac	77	80	127	108	126	154
Cyp6a2	21	19	38	29	47	43
SdhB	837	829	1373	1240	1580	1739
CG15237	22	19	31	22	27	34
ubl	26	17	24	23	32	41
koi	128	139	235	190	253	271
CG15236	27	24	41	45	39	41
CG34215	49	44	65	52	83	88
CG9445	18	18	31	21	31	33
coro	265	249	406	356	489	564
CG9447	4	0	0	1	3	6
Spn42Da	202	213	352	283	380	444
Spn42Db	0	4	3	1	1	1
Spn42Dc	43	45	49	49	65	88
Spn42Dd	230	234	350	319	390	536
Spn42De	13	4	9	12	13	16
CG30158	8	11	21	21	24	23
CG3358	25	16	51	30	45	47
mim	183	222	286	272	355	402
CheB42b	10	7	10	13	18	11
CheB42c	62	54	85	65	107	112
CheB42a	2	3	5	1	10	9
ppk25	0	0	0	1	1	0
Cyp6u1	62	76	110	90	138	164
CG30157	8	5	10	10	12	13
vimar	51	54	90	76	91	119
CG30156	28	40	57	46	64	68
CG17002	20	39	58	38	58	66
Tsp42Ea	23	33	44	26	42	47
CG30159	84	91	120	105	184	152
Tsp42Eb	0	0	0	0	0	0
CG30160	0	0	0	0	0	0
Tsp42Ec	45	47	82	63	99	124
Tsp42Ed	275	288	464	426	548	669
Tsp42Ee	558	577	941	735	1006	1152
CG43646	0	1	3	0	1	0
CG43647	0	0	0	0	0	0
Tsp42Ef	128	144	222	178	243	264
Tsp42Eg	71	72	100	82	118	125
Tsp42Eh	27	21	51	32	48	51
Tsp42Ei	129	111	189	181	215	247
CG33914	2	0	0	0	2	0
Tsp42Ej	80	92	158	119	184	199
Tsp42Ek	2	3	5	0	3	13
Tsp42El	59	65	127	121	157	165
lbm	30	36	54	43	56	56
Tsp42En	3	8	13	9	9	15
Tsp42Ep	1	3	7	0	8	5
Tsp42Eo	2	6	2	1	2	6
Pgant3	71	65	95	86	101	147
Tsp42Eq	56	52	79	70	122	108
Tsp42Er	44	68	101	76	101	122
CG12836	1	0	2	0	3	2
CG12831	16	21	23	20	26	30
esn	4	15	14	15	17	23
Cyp9b1	25	20	38	39	34	55
Cyp9b2	750	775	1198	1110	1391	1417
Spn43Aa	5	1	2	3	5	4
CG12828	21	10	23	21	26	25
Spn43Ab	1116	1086	1753	1681	2052	2342
Spn43Ad	71	67	114	96	113	135
nec	732	746	1131	982	1335	1456
CG11060	18	20	28	31	41	40
CG33140	17	22	33	26	66	57
CG30385	1	1	4	5	5	8
CG30384	15	15	28	28	32	51
pk	22	12	28	22	33	42
Or43a	0	0	0	0	0	0
Ady43A	118	107	190	189	234	276
Gadd45	64	73	95	80	112	125
CG1850	1	1	1	2	1	0
Br140	103	89	143	139	178	205
Incenp	73	59	109	103	139	150
pwn	9	6	20	12	14	14
CG12164	4	4	3	2	3	5
Dscam1	63	63	105	94	115	151
cos	45	52	66	56	87	102
Dhx15	127	129	186	165	211	233
Gr43a	0	3	1	0	1	2
Glo1	159	171	252	257	311	304
Eaf	120	128	177	167	231	253
CG11112	22	16	37	30	35	45
CG11113	1	4	7	2	5	5
CG43123	39	31	40	46	69	78
CG43267	0	1	1	1	0	4
CG1701	24	30	38	34	45	43
so	20	18	27	30	22	40
CG11145	12	9	15	19	23	24
CG11123	29	31	63	40	46	69
sPLA2	124	134	224	180	269	294
CG30503	88	105	140	128	157	180
kappaB-Ras	62	67	95	88	108	125
fa2h	34	26	41	34	55	61
CG11125	62	47	111	93	112	129
Inos	661	672	1121	1025	1234	1375
CG11141	75	89	134	114	139	150
CG11127	85	100	141	126	205	212
p47	215	201	345	304	436	442
Aldh-III	304	374	559	497	626	739
wech	155	144	209	191	251	285
Coop	43	29	47	46	58	71
CG1620	112	116	175	195	218	251
dpa	71	87	131	115	172	156
didum	280	258	413	373	489	540
mEFTu2	137	130	201	203	261	291
az2	17	8	21	19	19	24
CG1603	20	18	31	35	36	44
CG1602	8	11	12	13	18	24
PIG-G	50	47	62	71	62	87
Orc1	34	41	65	59	83	114
Drat	421	437	691	630	773	926
Cyt-b5	784	772	1154	1062	1381	1517
Gpo2	49	56	66	80	105	106
CG1598	130	136	188	197	247	242
Corin	42	27	57	51	61	67
Rpe	124	103	184	173	244	197
boca	47	50	92	83	103	90
Vps13	325	312	515	444	569	681
blow	57	51	89	78	116	92
CG1360	11	15	16	14	25	28
scra	56	79	135	106	150	117
CG1358	83	88	148	159	192	212
CG43340	267	299	444	430	521	564
CG43341	20	13	21	22	33	32
CG17985	34	33	43	45	77	65
Rpt1	434	447	654	604	750	886
CG30491	29	29	53	43	54	70
CG30495	1	7	12	12	12	20
CG1339	1	0	1	0	3	3
CG2070	9	20	18	26	27	31
CG2065	39	36	46	56	59	69
CG2064	36	19	33	24	43	56
DCTN4-p62	43	52	73	76	112	113
CG12826	0	1	3	1	1	3
mRpL52	47	42	59	59	58	65
CG12107	71	73	103	114	134	149
U2A	34	30	40	40	45	56
LRR	232	219	298	303	383	455
Coq9	72	78	114	110	129	128
CG30496	23	32	53	63	71	79
CG34216	6	6	7	7	11	5
tor	33	40	67	56	76	63
CG1941	29	27	53	52	72	67
Dgat2	10	11	17	17	19	15
CG1946	3	7	5	3	13	10
Gdap2	424	375	623	550	690	816
CG46385	513	518	839	800	950	1130
cn	0	0	0	1	0	0
CanB2	239	239	372	314	422	492
CG12825	120	115	164	148	160	208
CG12824	23	21	50	30	63	63
Gapdh1	2976	3183	4522	4311	5331	5922
DNApol-zeta	47	72	84	88	134	127
Nop17l	306	356	563	514	603	763
sax	102	76	144	126	174	193
TTLL12	79	68	103	87	140	130
puml	250	298	429	358	495	591
cathD	1600	1631	2471	2272	3015	3340
CG30383	0	0	1	1	1	5
phr	80	81	154	148	166	195
Prosalpha1	0	0	0	0	0	0
CG18853	0	0	0	0	0	0
CG30382	0	0	0	0	0	0
CG12822	30	27	42	59	57	79
Atg10	3	4	6	3	6	8
Dgk	85	79	127	125	128	153
CG30377	26	48	72	55	65	88
CG12159	36	42	82	68	78	86
Cul1	349	380	551	494	633	717
Or43b	3	4	9	9	3	15
Kdm4A	30	32	50	48	49	57
MFS12	57	39	82	79	77	107
PIG-X	5	8	9	12	21	15
rnh1	28	27	44	35	65	52
drosha	38	46	67	76	99	110
CG8728	171	177	229	240	325	347
CG30380	3	3	6	4	6	4
CG30379	0	0	0	0	0	1
CG14764	124	140	206	154	224	258
CG34430	0	0	0	0	0	1
CG34431	5	3	12	6	7	9
azot	16	18	26	17	20	27
CG30378	69	60	128	98	104	122
CG2906	15	13	18	14	33	43
CG2915	154	146	232	234	263	279
Sep5	6	9	8	10	12	16
nito	123	144	205	146	233	254
CG14763	10	15	25	21	33	36
CG8726	94	93	143	154	191	224
CSN4	85	100	164	141	176	205
ACC	2390	2293	3627	3338	4354	4657
Nup44A	60	73	94	99	118	149
Dic3	21	11	40	39	43	47
Hey	0	1	1	0	0	1
CG11191	8	16	8	17	27	20
Odc1	118	141	192	184	270	270
Odc2	14	12	12	16	14	30
CG14762	241	261	401	347	455	534
Optix	23	26	43	46	38	54
CG12769	22	33	39	30	39	54
CG17977	6	7	7	13	8	9
lig	514	563	882	783	1051	1247
Vps28	155	136	239	230	316	320
slv	54	55	70	61	96	105
sut1	128	126	162	164	222	231
sut2	14	12	16	23	27	24
sut3	10	6	22	11	15	20
sand	9	18	18	18	23	29
CG8712	47	49	70	48	84	93
Tmem63	112	130	178	161	194	232
Cul4	108	117	180	148	196	217
udd	24	11	31	21	21	30
Asap	175	177	257	256	266	342
Nup50	97	78	139	128	155	176
coil	25	35	66	38	63	59
Socs44A	74	57	96	87	114	120
Pbp49	78	74	104	86	133	131
CG42516	69	68	90	74	115	105
Pabp2	139	148	194	197	225	279
Obp44a	575	614	909	824	1097	1226
Lpin	424	446	696	676	774	931
kermit	190	216	290	262	356	415
CG8708	76	74	120	121	155	166
RagC-D	86	108	131	111	150	203
Rs1	78	81	127	120	141	150
CG30373	48	58	84	84	92	119
Gasz	35	38	45	55	64	75
Mlh1	17	13	18	30	25	32
CG14757	146	159	225	217	265	299
LRP1	244	252	376	343	431	531
CG14756	0	0	0	0	0	0
CG34217	167	166	276	204	281	350
dpn	0	1	1	1	2	0
pnut	213	208	336	313	361	437
CG44439	0	0	0	0	0	0
CG14760	0	0	0	0	0	0
CG30369	13	14	28	14	21	22
CG14759	6	5	7	9	12	11
CG2291	56	55	63	67	88	103
CG12126	25	9	37	34	36	39
CG30376	157	167	296	242	316	334
CG30375	1	0	2	1	1	5
CG30371	113	102	150	163	188	210
pdm3	45	34	51	55	64	69
CG11635	53	47	75	57	93	96
spaw	132	136	201	160	229	238
hubl	132	136	201	160	229	238
whip	32	36	53	50	68	74
cola	52	63	91	83	121	140
swif	52	63	91	83	121	140
boly	64	78	124	122	121	154
CG18449	117	128	221	197	246	242
CG2127	524	481	780	706	935	1043
CG8701	441	442	728	620	863	935
CG2121	43	36	64	62	73	81
CG43296	4	3	2	5	4	4
CSN7	101	103	138	144	206	209
Lcp1	4	0	5	2	4	6
Lcp2	1	0	0	0	0	1
Lcp3	0	0	1	1	0	0
Lcp4	0	0	0	0	0	0
Cyp4ad1	4	7	16	15	13	14
Cyp4e2	330	351	521	485	613	623
Cyp4e1	55	37	73	57	83	99
Mal-A1	4755	4807	7465	6846	8517	9419
Mal-A2	384	410	632	550	706	823
Mal-A3	97	118	174	184	242	240
Mal-A4	107	97	164	140	179	228
Mal-A5	210	235	375	331	439	471
Mal-A6	1947	1919	3133	2752	3659	3961
Mal-A7	350	381	621	529	675	765
Mal-A8	306	269	449	380	503	547
mtt	15	5	18	13	10	27
CG12780	99	104	164	135	192	188
Cyp6a14	7	6	6	8	11	11
Cyp6a13	281	265	419	390	471	525
CG42326	8	6	9	6	6	11
CG14752	5	5	10	2	13	12
CG43183	7	6	7	9	10	12
CG8736	725	718	1121	1100	1361	1557
Lnpk	88	74	143	123	163	190
rgr	39	40	64	49	90	77
CG8642	5	9	8	11	10	9
Cirl	343	360	563	554	662	756
Vps25	52	48	69	66	77	100
beta3GalTII	19	14	25	15	14	32
Gle1	43	44	71	66	106	90
CG8635	131	109	236	180	235	257
ptc	28	40	58	63	58	59
Acsl	1553	1571	2463	2266	2899	3268
UQCR-11L	9	8	5	16	9	11
CG30355	21	20	49	30	43	54
Jon44E	2	3	3	1	4	7
CG8586	753	790	1213	1172	1522	1613
CG8738	64	66	113	91	109	140
CG8584	20	20	25	23	36	42
CG12376	19	23	31	31	50	64
CG14744	3	1	8	6	8	5
PGRP-SC1a	1	2	3	1	4	3
CG14743	4	2	1	2	2	4
PGRP-SC1b	2	2	6	4	11	6
PGRP-SC2	169	178	226	220	312	340
CG14767	439	444	695	628	838	871
CG30357	9	9	18	14	20	20
gcl	85	88	120	131	154	161
CG30356	20	18	22	25	29	31
stmA	184	167	275	251	312	380
CG8740	287	312	452	439	525	650
CG42615	8	5	1	9	7	13
CG8746	71	69	101	87	121	142
sns	25	23	45	30	40	53
CG30350	41	37	68	57	73	81
RyR	245	227	326	328	425	452
CG8272	45	50	74	59	74	94
DCTN2-p50	127	131	209	165	268	273
Sec31	208	179	317	299	427	428
ana2	22	22	28	19	40	47
CG13751	43	49	62	70	100	102
MrgBP	28	36	50	67	72	82
Ggamma1	524	554	827	771	903	1097
CCT8	353	375	536	496	663	769
CG30349	65	72	123	106	144	199
CG8252	9	10	14	14	22	31
Pgi	1572	1596	2373	2250	2918	3345
lin	101	71	95	99	141	171
CG34219	1	4	3	2	0	2
CG8248	7	5	8	9	6	7
Spt	4	5	1	3	14	5
CG8243	148	131	185	178	235	274
CG8237	58	73	101	106	130	122
AIMP1	65	59	93	87	117	132
PAN2	181	175	260	252	338	335
CG13749	4	1	7	2	5	5
FANCI	14	26	23	20	33	42
CG13748	3	2	7	2	6	3
CG8230	185	187	309	264	341	401
CG33199	354	331	487	484	656	690
CG8229	296	273	410	402	579	604
Tom7	106	96	176	145	171	180
babo	152	148	201	238	274	327
spab	20	8	24	27	34	37
flz	1	0	4	1	1	7
Np	0	1	1	1	0	1
CG8172	0	1	0	1	0	0
CG13744	0	0	0	0	0	1
CG13747	43	36	70	66	71	83
CG8170	3	7	5	7	10	20
Ance-4	175	185	270	287	323	367
PPO2	500	479	753	743	895	968
CG13743	13	28	31	29	31	33
CG8197	14	25	21	24	35	43
ana	24	30	41	27	51	55
CNT2	28	32	47	48	44	57
CNT1	50	42	59	58	66	70
CG13742	3	6	7	8	13	8
Dbp45A	32	45	87	57	73	90
CG8080	96	100	163	161	195	206
Boot	40	56	77	67	100	110
CG8078	22	29	26	28	38	34
CG8777	26	46	61	44	74	94
Vang	60	57	98	95	112	124
Pgm2a	329	392	561	518	651	677
tsu	60	63	94	84	130	159
Mys45A	78	84	115	110	143	175
Phax	27	23	44	48	57	44
Su(var)2-10	133	116	148	131	187	218
GstE13	57	56	89	69	92	106
CG18659	187	195	280	289	360	408
Hydr1	234	229	345	330	424	478
alc	292	287	451	395	551	613
CG8788	245	259	416	352	517	555
CG44286	245	259	416	352	517	555
shrb	240	237	417	357	465	509
Prp38	30	27	48	39	53	51
CG30344	175	178	264	238	321	361
CG30345	61	57	97	85	105	106
CG8008	90	96	139	155	147	203
CG8046	10	10	8	15	20	18
Rad51D	1	3	0	2	2	0
CG42382	8	9	26	10	15	18
Rme-8	199	214	298	254	369	393
Rab32	139	130	221	203	253	266
CG8026	255	246	391	340	471	501
CG45085	255	246	391	340	471	501
unpg	1	1	6	4	5	6
CG8027	29	22	38	33	55	50
VhaAC45	699	702	1030	979	1306	1367
hig	153	137	209	177	282	294
Cyp4p2	0	0	1	0	1	0
Cyp4p1	313	287	440	413	566	551
Cyp4p3	80	95	150	123	152	195
Tsen15	3	0	3	0	1	2
Pkn	302	318	483	415	548	610
CG34141	8	10	14	14	14	15
CG2063	45	49	64	55	61	84
Cog6	41	60	87	77	102	103
Mad1	39	36	90	88	72	99
Drep2	77	84	129	109	155	194
Myd88	144	153	234	213	294	322
CG13739	20	26	37	37	47	55
CG13954	18	23	33	35	33	44
Or45a	0	0	0	0	0	0
CG12158	59	61	99	92	93	115
l(2)03659	5	9	15	8	16	15
CG8800	3	0	1	0	2	1
Non1	999	1050	1603	1462	1842	2033
l(2)k10201	18	18	25	24	31	45
CG33774	25	23	32	24	41	35
wun	107	99	153	151	176	221
wun2	35	29	38	50	65	61
CG13955	0	1	0	0	0	0
prel	128	121	193	185	235	242
Pdk	693	713	1070	1036	1331	1575
ced-6	655	625	1004	870	1195	1348
CG33758	0	0	0	0	0	0
CG33757	0	0	0	0	0	1
Camta	82	70	128	109	131	135
Wnt2	8	7	20	12	19	18
brp	107	96	149	117	176	219
CG1888	74	55	121	91	126	139
Or45b	0	0	0	0	0	0
Alp6	27	25	63	55	66	71
Not1	818	759	1289	1135	1461	1697
CG1814	100	129	185	167	216	207
Smyd4-1	10	33	37	29	39	41
Urod	136	157	219	195	234	296
CG12929	13	10	16	11	19	27
RpL31	1508	1626	2368	2162	2746	3005
clos	102	80	149	111	133	158
CG1827	109	99	149	148	181	175
Map60	59	47	97	72	102	139
CG30338	6	11	21	13	16	18
CG30340	2	3	1	2	1	2
CG30339	17	19	18	16	24	19
CG1902	133	141	198	175	269	309
GstT1	98	100	155	155	176	192
GstT2	27	29	45	43	54	72
CG12926	89	106	144	138	165	178
Mmp2	133	130	177	186	201	204
Uba1	764	718	1148	1042	1329	1507
CG30002	166	125	192	180	233	249
CG1773	16	25	29	27	51	44
CG10459	11	7	6	13	14	19
dap	49	43	90	59	89	100
sqa	193	158	281	249	310	370
CheA46a	0	0	0	0	0	0
trpl	405	425	616	558	731	800
CG1690	50	48	82	54	80	97
CG1688	6	13	13	16	14	19
CG1698	108	136	184	157	196	233
CG1648	809	884	1264	1223	1611	1734
lectin-46Cb	181	225	346	307	373	460
lectin-46Ca	272	300	473	371	520	582
CG34033	26	37	62	54	43	54
CG30001	3	2	5	8	2	8
dila	7	11	15	22	20	22
hebe	321	304	481	480	629	678
CG1663	24	20	33	32	47	42
Lsm11	10	6	15	11	9	17
Marc	87	76	144	115	139	200
Vamp7	97	97	159	134	196	204
Sting	91	96	154	121	155	147
Orc6	19	12	17	14	16	29
Prosalpha7	311	357	539	472	602	653
CG1671	43	46	73	85	76	86
PCB	1212	1248	1841	1710	2241	2570
CG30010	11	17	28	16	21	30
CG46338	8	21	31	23	39	42
Ntmt	46	69	90	86	99	125
Lime	29	28	33	43	43	42
CG12744	7	13	11	7	10	12
Sec24AB	206	221	325	313	408	432
CG1513	208	207	326	299	389	434
CG12923	9	11	13	22	13	30
CG30008	420	455	684	620	783	912
tea	64	52	87	87	129	144
CG1441	108	96	170	161	208	210
FMRFa	18	13	12	17	20	14
Etf-QO	342	371	564	534	664	775
Mef2	143	128	205	201	268	305
Pdrg1	13	19	19	12	27	25
Pal1	191	197	287	273	405	432
CG1418	82	90	137	130	154	167
CG12133	0	0	1	0	0	0
eIF3j	286	241	384	334	468	571
CG12134	26	20	35	33	53	44
eve	1	2	1	0	0	0
TER94	1024	1043	1608	1408	1928	2120
Pka-R2	226	228	313	263	383	431
CG12128	33	39	61	53	60	74
CG1407	69	68	92	84	122	146
CG12129	43	38	62	60	67	92
oys	361	368	615	568	744	839
CG34220	1397	1409	2130	1938	2544	3010
COX7C	465	441	615	631	714	830
CG44296	24	18	36	34	28	41
sel	152	137	246	208	271	312
magu	114	147	215	164	246	256
Def	17	19	17	18	22	25
PIG-N	26	26	31	35	49	60
mRpL42	51	68	127	71	97	114
Cdc2rk	13	17	29	21	28	41
CG12920	0	0	0	0	0	2
CG1371	269	261	426	389	486	505
egr	64	60	106	93	140	133
CG2269	123	132	217	193	258	255
sut4	58	57	79	72	112	101
Jra	118	141	213	180	226	263
RpLP0-like	62	54	85	87	121	112
14-3-3zeta	1374	1373	2161	1864	2462	2790
Pfk	741	758	1149	1148	1460	1530
dmpd	68	91	129	123	142	175
Ccs	42	32	48	50	62	70
CG46319	667	709	1039	958	1251	1442
gem	667	709	1039	958	1251	1442
CG12917	10	9	16	18	13	21
Or46a	0	0	2	0	1	0
CG18011	13	18	19	17	33	22
KCNQ	85	101	195	154	202	218
mlt	299	350	530	449	617	706
CG34221	1	1	4	2	1	2
Hr3	44	38	47	37	65	58
CG46321	34	28	32	28	42	36
CG12912	39	34	38	31	56	44
Hdc	26	23	29	38	47	53
CG12209	15	21	23	26	26	33
CG12914	7	9	13	18	14	23
CG12913	3	4	13	5	8	6
Syb	246	259	384	348	457	548
CG12911	3	3	2	5	3	2
CG12910	12	12	18	19	28	22
CAP	363	348	567	527	672	812
RNaseZ	27	28	45	40	45	67
CG12909	13	12	35	25	44	50
Obp46a	0	0	0	0	0	0
Ndg	20	26	46	34	55	47
CG34222	12	16	31	29	31	34
SLO2	46	58	84	67	79	86
CG46305	34	32	65	45	49	79
CG43200	34	32	65	45	49	79
CG43172	34	32	65	45	49	79
CG43201	19	17	17	28	28	35
CG43171	19	17	17	28	28	35
CG43178	19	17	17	28	28	35
CG46298	90	135	186	174	213	247
CG43397	153	142	227	211	283	311
CG12902	153	142	227	211	283	311
CG42733	31	22	44	41	48	60
CG43396	5	7	10	20	23	8
Gr47a	0	0	2	1	0	1
Ir47a	0	0	0	0	0	1
CG12898	0	0	0	0	0	0
CG33477	0	0	0	0	0	0
CG33476	0	0	0	0	0	0
CG33475	0	0	0	1	0	0
Prx2540-2	126	117	231	208	274	292
CG11825	10	10	9	13	22	10
CG33474	4	2	7	7	2	9
Prx2540-1	28	37	31	31	49	54
CG12896	31	27	47	42	46	62
RanBPM	312	286	461	417	551	589
CG12895	46	41	75	61	90	92
Galphao	148	172	224	213	287	289
Cyp49a1	16	19	28	25	37	38
Caf1-105	37	51	45	41	60	80
CG11777	9	12	28	17	12	22
whd	606	655	955	934	1134	1283
trsn	44	26	40	51	48	66
CG17765	122	127	211	176	229	256
pre-lola-G	40	55	72	71	96	108
lola	348	387	582	513	665	746
psq	242	221	349	326	427	520
CG11883	56	59	105	110	118	147
Git	48	54	71	64	85	98
Elp2	39	29	53	40	78	69
CG12934	4	2	2	3	1	3
stan	16	15	20	14	30	28
Rab3	67	77	106	89	116	166
CAH13	52	65	87	80	116	139
CG12338	144	154	212	214	254	277
CG7220	376	439	620	527	675	833
Mat1	43	44	59	58	71	89
CG33144	167	173	312	239	311	393
mthl13	0	0	1	0	0	0
wde	73	84	119	105	165	170
CG12935	16	23	23	13	23	26
CG7637	18	23	24	23	32	33
mms4	4	13	22	14	15	19
CG12341	20	23	35	41	51	54
CG7222	73	85	134	127	129	150
dgo	15	17	35	19	28	48
Prosbeta5	426	369	638	608	786	840
Lsm10	5	6	6	9	18	14
RpS15Ab	60	71	115	102	116	130
CG12343	49	45	78	78	107	109
CG12325	25	37	58	49	53	74
CG12344	15	16	26	21	36	34
LTV1	267	259	432	434	562	575
CG30015	361	364	594	582	749	846
CG30016	15	12	22	18	25	27
nclb	70	86	122	133	134	157
Taf5	55	49	58	60	78	88
Pex6	92	110	153	112	163	188
CG18003	179	186	285	254	346	361
CG18004	25	28	35	40	49	59
CG30020	80	68	115	94	136	168
cag	15	16	17	21	22	26
CG12942	35	28	41	44	43	53
ND-B14	270	267	421	365	463	487
Rpb5	44	37	55	54	64	80
polyph	7	3	7	4	10	11
Obp47a	0	0	0	0	0	0
Spn47C	164	160	272	225	280	329
luna	30	23	27	28	52	47
CG43188	2	3	3	1	2	2
Cyp12d1-p	1	0	1	1	2	2
Cyp12d1-d	0	0	0	0	0	0
BBS4	3	3	5	3	3	3
CG13229	8	2	12	11	11	12
CG13231	0	5	7	7	6	7
CG12391	89	100	134	99	148	159
CG13230	0	1	1	0	1	0
shn	159	155	238	228	292	359
CG9084	16	26	48	43	42	64
Syx6	80	60	130	98	134	152
CG7737	25	33	27	25	59	62
metro	49	49	71	78	94	115
CG13218	0	0	0	1	0	1
CG13228	0	0	0	0	0	0
CG13227	1	1	1	0	0	0
CG34223	0	0	0	0	0	0
CG13217	0	0	0	0	0	0
CG34224	0	0	0	0	0	0
CG13216	0	0	0	0	0	0
CG13215	4	6	6	8	16	11
Listericin	87	114	155	137	189	195
CG13226	1	1	1	1	3	3
CG34225	0	0	0	1	1	1
CG34227	308	303	420	352	486	486
CG43112	0	0	0	0	0	0
Or47a	0	0	0	0	0	1
Cpr47Ea	8	3	5	4	7	4
Cpr47Eb	1	1	1	0	0	1
CG13223	0	0	0	3	5	5
Cpr47Ec	0	0	0	0	0	0
Cpr47Ed	0	0	0	0	0	0
Cpr47Ee	20	22	30	28	45	51
Cpr47Ef	16	23	32	21	40	41
TpnC47D	28	34	46	44	58	56
Cpr47Eg	0	1	1	0	0	1
CG9067	24	20	30	18	49	36
Vhl	13	22	36	35	35	40
CG9062	76	83	123	119	115	167
CG13220	138	167	246	215	277	286
Fbl6	87	68	122	131	163	160
CG18335	63	55	110	98	113	114
dare	56	47	76	74	83	96
CG30033	8	6	5	3	12	9
CG18336	46	45	70	56	83	90
CG42336	69	66	94	99	123	152
CG7741	22	32	28	23	38	41
Obp47b	0	0	0	0	0	0
